user_id,challenge_name,category,difficulty,start_date,completion_date,completed,points_earned,attempts
user_0000,Morning Meditation,meditation,2,2025-11-20,2025-11-21,True,100,3
user_0000,Evening Yoga,exercise,2,2025-09-08,,False,0,3
user_0000,7-Day Streak,exercise,5,2025-11-12,2025-11-18,True,250,2
user_0001,Evening Yoga,exercise,2,2025-10-02,,False,0,2
user_0001,Sleep Sanctuary,sleep,3,2025-09-10,2025-09-16,True,150,2
user_0001,Mindful Eating,meals,4,2025-10-10,2025-10-12,True,200,1
user_0001,Mindful Eating,meals,4,2025-11-15,,False,0,3
user_0001,Morning Meditation,meditation,2,2025-10-06,,False,0,3
user_0001,Hydration Hero,water,1,2025-11-21,2025-11-22,True,50,1
user_0002,10K Steps Challenge,exercise,3,2025-10-05,2025-10-08,True,150,2
user_0002,Morning Meditation,meditation,2,2025-10-23,,False,0,3
user_0002,Breathwork Beginner,meditation,1,2025-09-21,,False,0,3
user_0002,Evening Yoga,exercise,2,2025-11-16,,False,0,2
user_0002,Morning Meditation,meditation,2,2025-11-10,2025-11-17,True,100,3
user_0002,Morning Meditation,meditation,2,2025-10-25,2025-10-28,True,100,3
user_0003,10K Steps Challenge,exercise,3,2025-11-10,2025-11-15,True,150,3
user_0004,Morning Meditation,meditation,2,2025-10-17,2025-10-18,True,100,3
user_0004,Breathwork Beginner,meditation,1,2025-10-26,,False,0,1
user_0004,7-Day Streak,exercise,5,2025-09-10,,False,0,1
user_0004,Breathwork Beginner,meditation,1,2025-11-05,,False,0,1
user_0004,Hydration Hero,water,1,2025-09-23,2025-09-27,True,50,1
user_0005,Hydration Hero,water,1,2025-10-06,,False,0,3
user_0005,Breathwork Beginner,meditation,1,2025-09-14,2025-09-21,True,50,2
user_0006,Evening Yoga,exercise,2,2025-10-08,,False,0,1
user_0006,10K Steps Challenge,exercise,3,2025-11-10,,False,0,1
user_0006,10K Steps Challenge,exercise,3,2025-11-19,,False,0,2
user_0006,Breathwork Beginner,meditation,1,2025-11-01,,False,0,1
user_0006,7-Day Streak,exercise,5,2025-11-21,2025-11-26,True,250,2
user_0007,7-Day Streak,exercise,5,2025-11-13,,False,0,2
user_0007,7-Day Streak,exercise,5,2025-11-29,2025-12-05,True,250,1
user_0008,Morning Meditation,meditation,2,2025-10-11,,False,0,1
user_0008,10K Steps Challenge,exercise,3,2025-10-13,2025-10-19,True,150,1
user_0008,10K Steps Challenge,exercise,3,2025-11-24,2025-11-26,True,150,2
user_0008,Breathwork Beginner,meditation,1,2025-09-28,2025-10-04,True,50,3
user_0008,Sleep Sanctuary,sleep,3,2025-10-28,,False,0,3
user_0008,Breathwork Beginner,meditation,1,2025-11-19,2025-11-24,True,50,2
user_0008,Morning Meditation,meditation,2,2025-11-24,,False,0,1
user_0008,Breathwork Beginner,meditation,1,2025-10-08,2025-10-10,True,50,1
user_0008,Hydration Hero,water,1,2025-12-02,,False,0,3
user_0008,Mindful Eating,meals,4,2025-09-25,2025-10-01,True,200,3
user_0008,Morning Meditation,meditation,2,2025-12-03,2025-12-07,True,100,3
user_0008,Breathwork Beginner,meditation,1,2025-10-05,2025-10-11,True,50,3
user_0009,Sleep Sanctuary,sleep,3,2025-11-06,2025-11-13,True,150,3
user_0009,7-Day Streak,exercise,5,2025-11-28,2025-12-05,True,250,2
user_0009,Sleep Sanctuary,sleep,3,2025-10-03,,False,0,1
user_0009,Evening Yoga,exercise,2,2025-09-29,,False,0,1
user_0009,Mindful Eating,meals,4,2025-09-14,,False,0,2
user_0009,10K Steps Challenge,exercise,3,2025-09-10,,False,0,1
user_0009,Mindful Eating,meals,4,2025-10-31,,False,0,2
user_0009,Breathwork Beginner,meditation,1,2025-11-24,,False,0,3
user_0009,Morning Meditation,meditation,2,2025-09-08,,False,0,3
user_0009,Sleep Sanctuary,sleep,3,2025-10-23,2025-10-29,True,150,1
user_0009,Hydration Hero,water,1,2025-11-15,2025-11-22,True,50,2
user_0009,Breathwork Beginner,meditation,1,2025-11-26,,False,0,1
user_0010,Breathwork Beginner,meditation,1,2025-11-24,,False,0,1
user_0010,10K Steps Challenge,exercise,3,2025-10-13,,False,0,1
user_0010,Breathwork Beginner,meditation,1,2025-09-30,2025-10-06,True,50,3
user_0010,Morning Meditation,meditation,2,2025-09-26,2025-10-03,True,100,3
user_0010,7-Day Streak,exercise,5,2025-11-17,,False,0,1
user_0010,Morning Meditation,meditation,2,2025-11-06,,False,0,1
user_0010,10K Steps Challenge,exercise,3,2025-11-12,,False,0,1
user_0010,7-Day Streak,exercise,5,2025-10-11,,False,0,2
user_0010,10K Steps Challenge,exercise,3,2025-11-19,,False,0,3
user_0010,Breathwork Beginner,meditation,1,2025-11-09,2025-11-16,True,50,3
user_0010,7-Day Streak,exercise,5,2025-12-04,,False,0,2
user_0011,Morning Meditation,meditation,2,2025-09-28,,False,0,2
user_0011,Hydration Hero,water,1,2025-09-22,,False,0,2
user_0011,Morning Meditation,meditation,2,2025-10-13,,False,0,2
user_0011,Breathwork Beginner,meditation,1,2025-09-23,2025-09-27,True,50,2
user_0011,Hydration Hero,water,1,2025-10-03,2025-10-10,True,50,1
user_0011,Breathwork Beginner,meditation,1,2025-09-28,2025-09-30,True,50,1
user_0011,Hydration Hero,water,1,2025-10-23,2025-10-25,True,50,1
user_0012,Breathwork Beginner,meditation,1,2025-10-18,2025-10-23,True,50,1
user_0012,Morning Meditation,meditation,2,2025-09-14,,False,0,1
user_0012,7-Day Streak,exercise,5,2025-11-21,2025-11-23,True,250,2
user_0013,Hydration Hero,water,1,2025-09-06,2025-09-11,True,50,1
user_0013,Evening Yoga,exercise,2,2025-11-29,2025-12-05,True,100,2
user_0013,Breathwork Beginner,meditation,1,2025-11-16,2025-11-22,True,50,1
