user_id,date,day_number,steps,meditation_minutes,water_glasses,sleep_hours,meals_logged,exercise_minutes,engagement_score,completed_daily_goal
user_0000,2025-11-05,0,3636,0,6,7.3,2,34,0.7693140178671265,True
user_0000,2025-11-06,1,2938,0,7,8.2,2,37,0.8408531330039416,True
user_0000,2025-11-07,2,3966,16,9,7.2,2,37,0.8388600883794793,True
user_0000,2025-11-08,3,3944,27,10,7.6,2,39,0.8754337880097988,True
user_0000,2025-11-09,4,4331,0,7,6.8,2,35,0.7958641170682967,True
user_0000,2025-11-10,5,6281,9,9,6.8,2,35,0.7986495334105651,True
user_0000,2025-11-11,6,3825,21,9,7.3,2,35,0.7963390154817654,True
user_0000,2025-11-12,7,3670,4,9,8.3,2,35,0.7787038818821173,True
user_0000,2025-11-13,8,8499,15,7,7.4,2,31,0.6942805731347924,True
user_0000,2025-11-14,9,12011,14,6,7.2,2,39,0.8724265078893176,True
user_0000,2025-11-15,10,3342,8,6,7.3,2,38,0.8657302778170388,True
user_0000,2025-11-16,11,9971,0,5,7.8,2,33,0.7487142238886795,True
user_0000,2025-11-17,12,2543,1,9,7.5,2,36,0.8035057205606607,True
user_0000,2025-11-18,13,8470,0,7,8.1,2,35,0.7877876819135139,True
user_0000,2025-11-19,14,2808,3,6,7.7,2,35,0.7897408336841021,True
user_0000,2025-11-20,15,8347,0,5,7.3,2,32,0.7179269909656605,True
user_0000,2025-11-21,16,2845,0,7,7.4,2,35,0.79343427572326,True
user_0000,2025-11-22,17,7771,2,7,7.3,2,38,0.8547940471151029,True
user_0000,2025-11-23,18,9778,8,7,7.3,2,42,0.9528824253213621,True
user_0000,2025-11-24,19,4372,0,9,7.6,2,38,0.8446196748634526,True
user_0000,2025-11-25,20,4340,0,8,7.5,2,37,0.8310189820306064,True
user_0000,2025-11-26,21,8597,0,7,8.2,2,35,0.7991362406648498,True
user_0000,2025-11-27,22,9423,0,8,7.3,2,35,0.7948953312641769,True
user_0000,2025-11-28,23,8953,2,9,9.0,2,39,0.8722800148218044,True
user_0000,2025-11-29,24,6424,1,8,7.5,2,37,0.8394597238325816,True
user_0000,2025-11-30,25,2072,11,6,7.2,2,35,0.7931300367557406,True
user_0000,2025-12-01,26,7063,4,6,7.8,2,34,0.7738304140356926,True
user_0000,2025-12-02,27,1257,8,7,7.5,2,36,0.8168202544495964,True
user_0000,2025-12-03,28,5344,1,7,7.5,2,35,0.7982255835773482,True
user_0000,2025-12-04,29,14777,0,6,8.2,2,37,0.8246316306534661,True
user_0001,2025-11-05,0,20000,0,9,8.6,2,43,0.9729913260209159,True
user_0001,2025-11-06,1,8487,17,9,8.1,2,39,0.8708218979172053,True
user_0001,2025-11-07,2,3849,0,9,7.1,2,42,0.9423072601659942,True
user_0001,2025-11-08,3,4430,0,6,7.5,2,37,0.8338805742217676,True
user_0001,2025-11-09,4,6208,0,8,8.2,2,38,0.8654547779708349,True
